,Unnamed: 0,city,neighborhood,redfin_lat,redfin_lng,month,sale_price,homes_sold,new_listings,days_on_market,index,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,capacity,divvy_lat,divvy_lng,name,count
30,14,"Chicago, IL ",Bridgeport,41.8364162,-87.64866090000002,Aug-19,420.0,87,118,67,241,1576797807,10,0,1,0,0,262,11,41.827059000000006,-87.64572,Halsted St & 37th St,9
31,14,"Chicago, IL ",Bridgeport,41.8364162,-87.64866090000002,Aug-19,420.0,87,118,67,255,1576800014,11,0,4,0,0,278,15,41.830628999999995,-87.64129,Wallace St & 35th St,9
32,14,"Chicago, IL ",Bridgeport,41.8364162,-87.64866090000002,Aug-19,420.0,87,118,67,256,1576795476,3,0,12,0,0,279,15,41.830661,-87.647172,Halsted St & 35th St,9
33,14,"Chicago, IL ",Bridgeport,41.8364162,-87.64866090000002,Aug-19,420.0,87,118,67,257,1576804313,3,0,8,0,0,280,11,41.8378,-87.65114,Morgan St & 31st St,9
34,14,"Chicago, IL ",Bridgeport,41.8364162,-87.64866090000002,Aug-19,420.0,87,118,67,337,1576802264,8,0,3,0,0,366,11,41.84163254,-87.65743495,Loomis St & Archer Ave,9
35,14,"Chicago, IL ",Bridgeport,41.8364162,-87.64866090000002,Aug-19,420.0,87,118,67,338,1576795151,8,0,7,0,0,367,15,41.83069611,-87.65597591,Racine Ave & 35th St,9
36,14,"Chicago, IL ",Bridgeport,41.8364162,-87.64866090000002,Aug-19,420.0,87,118,67,506,1576799769,0,0,7,0,0,548,7,41.823613,-87.650931,Morgan St & Pershing Rd,9
37,16,"Chicago, IL ",Bronzeville,41.816644399999994,-87.61677440000004,Aug-19,241.0,138,196,67,182,1576727532,7,0,4,0,0,201,11,41.82168,-87.6216,Indiana Ave & 40th St,4
38,16,"Chicago, IL ",Bronzeville,41.816644399999994,-87.61677440000004,Aug-19,241.0,138,196,67,328,1576798764,7,0,8,0,0,351,15,41.803038,-87.606615,Cottage Grove Ave & 51st St,4
39,16,"Chicago, IL ",Bronzeville,41.816644399999994,-87.61677440000004,Aug-19,241.0,138,196,67,373,1576802514,3,0,12,0,0,410,15,41.81665889,-87.61941246,Prairie Ave & 43rd St,4
40,16,"Chicago, IL ",Bronzeville,41.816644399999994,-87.61677440000004,Aug-19,241.0,138,196,67,378,1576778879,4,0,7,0,0,415,11,41.80229465,-87.61805358,Calumet Ave & 51st St,4
41,17,"Chicago, IL ",Bucktown,41.922706700000006,-87.68027479999998,Aug-19,590.0,103,112,57,54,1576801514,2,0,21,0,0,58,23,41.916017,-87.668879,Marshfield Ave & Cortland St,6
42,17,"Chicago, IL ",Bucktown,41.922706700000006,-87.68027479999998,Aug-19,590.0,103,112,57,102,1576804358,2,0,13,0,0,116,15,41.91552,-87.687022,Western Ave & Winnebago Ave,6
43,17,"Chicago, IL ",Bucktown,41.922706700000006,-87.68027479999998,Aug-19,590.0,103,112,57,200,1576802336,3,0,16,0,0,219,19,41.915983000000004,-87.677335,Damen Ave & Cortland St,6
44,17,"Chicago, IL ",Bucktown,41.922706700000006,-87.68027479999998,Aug-19,590.0,103,112,57,237,1576803106,8,0,19,0,0,258,27,41.929465,-87.684158,Logan Blvd & Elston Ave,6
45,17,"Chicago, IL ",Bucktown,41.922706700000006,-87.68027479999998,Aug-19,590.0,103,112,57,467,1576799615,7,0,8,0,0,505,15,41.92409085,-87.67646007,Winchester Ave & Elston Ave,6
